"crop","sum","fertilizer","candidate_name","party","evm_votes"
"Jowar","463","45452.71","PRASEETHA AZHIKODE","Independent",814
"Jowar","463","45452.71","PRATHAPAN","Bahujan Dravida Party",414
"Jowar","463","45452.71","PRATHAPAN","Independent",685
"Jowar","463","45452.71","PREMACHANDRAN NAIR","Independent",1713
"Jowar","463","45452.71","PROF C RAVEENDRANATH","Communist Party of India  (Marxist)",327382
"Jowar","463","45452.71","RAGHAVAN S/O NARAYANAN NAIR","Independent",1057
"Jowar","463","45452.71","RAHUL GANDHI","Indian National Congress",642299
"Jowar","463","45452.71","RAJEEV CHANDRASEKHAR","Bharatiya Janata Party",337920
"Jowar","463","45452.71","RAJESH K SON OF VELANKUTTY","Independent",1033
"Jowar","463","45452.71","RAJESH M SON OF MANI C","Independent",947
"Jowar","463","45452.71","RAJESWARI K.R","Independent",886
"Jowar","463","45452.71","RAJMOHAN UNNITHAN","Indian National Congress",487637
"Jowar","463","45452.71","RAMACHANDRAN BAVILEERI","Bharatheeya Jawan Kisan Party",2606
"Jowar","463","45452.71","RAMYA HARIDAS","Indian National Congress",379231
"Jowar","463","45452.71","ROBY MATTAPPALLY","Independent",697
"Jowar","463","45452.71","ROHIT KRISHNAN","Independent",408
"Jowar","463","45452.71","ROSILIN CHACKO","Bahujan Samaj Party",2377
"Jowar","463","45452.71","S MINI","Socialist Unity Centre Of India (COMMUNIST)",1098
"Jowar","463","45452.71","SAJI @ SHAJI","Viduthalai Chiruthaigal Katchi",1493
"Jowar","463","45452.71","SANDEEP RAJENDRAPRASAD","Independent",734
"Jowar","463","45452.71","SANTHOSH K","Independent",1146
"Jowar","463","45452.71","SANTHOSH PALATHUMPADAN","Bahujan Samaj Party",4183
"Jowar","463","45452.71","SANTHOSH PULICKAL","Independent",686
"Jowar","463","45452.71","SASI KONGAPALLY","Independent",228
"Jowar","463","45452.71","SATHEESH SHENOI","Independent",473
"Jowar","463","45452.71","SATHYAN K.P","Independent",1017
"Jowar","463","45452.71","SHAFI","Independent",399
"Jowar","463","45452.71","SHAFI PARAMBIL","Indian National Congress",552490
"Jowar","463","45452.71","SHAFI T P","Independent",3715
"Jowar","463","45452.71","SHAJAHAN V.A.     S/O ABDUL AZEES","Independent",553
"Jowar","463","45452.71","SHAJU PALIYODU","Independent",348
"Jowar","463","45452.71","SHASHI THAROOR","Indian National Congress",353679
"Jowar","463","45452.71","SHYLAJA","Independent",661
"Jowar","463","45452.71","SIDHEEK IRUPPASSERY","Independent",913
"Jowar","463","45452.71","SINOJ A.C","Independent",885
"Jowar","463","45452.71","SOBHA SURENDRAN","Bharatiya Janata Party",295841
"Jowar","463","45452.71","SUBHA","Independent",705
"Jowar","463","45452.71","SUBRAN K R","Independent",789
"Jowar","463","45452.71","SUDHAKARAN. K S/O. P GOPALAN","Independent",893
"Jowar","463","45452.71","SUKUMARI M","Bahujan Samaj Party",1599
"Jowar","463","45452.71","SUNIL ALANCHERIL","Independent",499
"Jowar","463","45452.71","SUNILKUMAR SON OF PRABHAKARAN","Independent",1930
"Jowar","463","45452.71","SURABHI S","Bahujan Samaj Party",4485
"Jowar","463","45452.71","SURESH GOPI","Bharatiya Janata Party",409302
"Jowar","463","45452.71","SURESH NOORANAD","Ambedkarite Party of India",1441
"Jowar","463","45452.71","SYLAJA P","Independent",319
"Jowar","463","45452.71","T S CHANDRAN","Independent",481
"Jowar","463","45452.71","T. KRISHNAN","Bahujan Samaj Party",1392
"Jowar","463","45452.71","T. RAGHAVAN S/O VELLANKUTTY","Independent",1009
"Jowar","463","45452.71","THOMAS CHAZHIKADAN","Kerala Congress  (M)",272418
"Jowar","463","45452.71","THRISSUR NAZEER","Independent",459
"Jowar","463","45452.71","THUSHAR VELLAPPALLY","Bharath Dharma Jana Sena",163227
"Jowar","463","45452.71","TWINKLE PRABHAKARAN","Socialist Unity Centre Of India (COMMUNIST)",689
"Jowar","463","45452.71","V  MURALEEDHARAN","Bharatiya Janata Party",307710
"Jowar","463","45452.71","V JOY","Communist Party of India  (Marxist)",321715
"Jowar","463","45452.71","V K SREEKANDAN","Indian National Congress",418072
"Jowar","463","45452.71","V P KOCHUMON","Socialist Unity Centre Of India (COMMUNIST)",1551
"Jowar","463","45452.71","V. VASEEF","Communist Party of India  (Marxist)",341510
"Jowar","463","45452.71","VADI HAREENDRAN","Independent",289
"Jowar","463","45452.71","VAYALAR JAYAKUMAR","Bahujan Samaj Party",1480
"Jowar","463","45452.71","VAYALAR RAJEEVAN","Bahujan Dravida Party",674
"Jowar","463","45452.71","VIJU CHERIAN","Bahujan Samaj Party",7075
"Jowar","463","45452.71","VINOD","Bahujan Samaj Party",1449
"Jowar","463","45452.71","VIPINLAL VIDHYADHARAN","Bahujan Samaj Party",2163
"Bajra","442","45141.46","A . RAJ.","Independent",473
"Bajra","442","45141.46","A. DEVADAS","Socialist Unity Centre Of India (COMMUNIST)",1739
"Bajra","442","45141.46","A. G. RAMACHANDRA RAO","Secular Democratic Congress",487
"Bajra","442","45141.46","A. S. SATHISH","Independent",3736
"Bajra","442","45141.46","A.D. SHIVAPPA","Bahujan Samaj Party",2772
"Bajra","442","45141.46","A.K.GANESH","Independent",1054
"Bajra","442","45141.46","ABDUL NAZEER AHAMMED","Independent",651
"Bajra","442","45141.46","ABDULAZIZ KALADAGI PENDARI","Independent",524
"Bajra","442","45141.46","ABHAYA SHEELA.","Rashtriya Samaj Dal (R)",625
"Bajra","442","45141.46","ABHISHEK K","Uttama Prajaakeeya Party",6191
"Bajra","442","45141.46","AMARESH","Independent",4459
"Bajra","442","45141.46","AMBADAS SOPANRAO HULSURE","Bahujan Bharat Party",5300
"Bajra","442","45141.46","AMBEDKAR. C. J","Independent",821
"Bajra","442","45141.46","AMBROSE D' MELLO","Independent",1203
"Bajra","442","45141.46","AMRUTH RAJA.","Independent",804
"Bajra","442","45141.46","ANABERU THIPPESWAMY","Socialist Unity Centre Of India (COMMUNIST)",842
"Bajra","442","45141.46","ANAND SINNUR","Independent",1271
"Bajra","442","45141.46","ANANDSWAMY GADDADEVARMATH","Indian National Congress",660191
"Bajra","442","45141.46","ANNASAHEB SHANKAR JOLLE","Bharatiya Janata Party",618168
"Bajra","442","45141.46","ANNOJI RAO. G","Sarva Janata Party",1113
"Bajra","442","45141.46","ANTHOSH SAVVASE","Uttama Prajaakeeya Party",4909
"Bajra","442","45141.46","APPASAHEB SHRIPATI KURANE","Sarva Janata Party",4635
"Bajra","442","45141.46","ARAVIND GOWDA","Independent",872
"Bajra","442","45141.46","ARUN PRASAD.A","Bahujan Samaj Party",2416
"Bajra","442","45141.46","ARUN.S.HIREHAL","Independent",1281
"Bajra","442","45141.46","ARUNA KANAHALLI","Uttama Prajaakeeya Party",1475
"Bajra","442","45141.46","ASGAR A MOHIN.S.M.","Independent",266
"Bajra","442","45141.46","ASHOK APPAYA APPUGOL","Bahujan Samaj Party",4350
"Bajra","442","45141.46","ASHOK P HANAJI","Independent",668
"Bajra","442","45141.46","ASHOKA CHAKRAVARTHI","Bahujan Samaj Party",7679
"Bajra","442","45141.46","ASHPAKAHMAD USTAD","Independent",622
"Bajra","442","45141.46","AVINASH. NARAYAN. PATIL.","Independent",761
"Bajra","442","45141.46","B. DEVARAJ","Independent",491
"Bajra","442","45141.46","B. KRISHNA PRASAD","Proutist Bloc, India",324
"Bajra","442","45141.46","B. SREERAMULU","Bharatiya Janata Party",629813
"Bajra","442","45141.46","B. VENKATESHA, SHILPI","Independent",4196
"Bajra","442","45141.46","B. VIJAYKUMAR CHINCHANSOORKAR","Prahar Janshakti Party",548
"Bajra","442","45141.46","B.N. SURESHA (SURESHGOWDA)","Independent",1409
"Bajra","442","45141.46","B.N.CHANDRAPPA","Indian National Congress",634152
"Bajra","442","45141.46","B.T. RAMASUBBAIAH","Indian Movement Party",718
"Bajra","442","45141.46","B.Y.RAGHAVENDRA","Bharatiya Janata Party",775731
"Bajra","442","45141.46","BALAKRISHNA.M.","Uttama Prajaakeeya Party",1106
"Bajra","442","45141.46","BALANAGOUDRA MALLIKARJUNAGOUDA","Independent",986
"Bajra","442","45141.46","BALARAJ.S","Bharatiya Janata Party",561056
"Bajra","442","45141.46","BALBHEEM UNNE","Independent",1462
"Bajra","442","45141.46","BANDI","Independent",7265
"Bajra","442","45141.46","BANKAPUR SHOUKATALI","Tipu Sultan Party",464
"Bajra","442","45141.46","BARKATH ALI","Independent",409
"Bajra","442","45141.46","BASAPPA GURUSIDDAPPA KUMBAR","Karnataka Rashtra Samithi",5406
"Bajra","442","45141.46","BASAVA PRABHU. MEDA","Karnataka Rashtra Samithi",5173
"Bajra","442","45141.46","BASAVARAJ B HADI","Independent",1065
"Bajra","442","45141.46","BASAVARAJ BOMMAI","Bharatiya Janata Party",702189
"Bajra","442","45141.46","BASAVARAJU J.D (EX1000ARMY)","Independent",3983
"Bajra","442","45141.46","BASAVARAJU. H.R","National Maha Sabha Party",433
"Bajra","442","45141.46","BEERESH. C.T (SAINIKA BEERESH)","Independent",919
"Bajra","442","45141.46","BHAGWANTH KHUBA","Bharatiya Janata Party",535766
"Bajra","442","45141.46","BHASKAR ANKALAMADUGU SHIVAREDDY","Independent",831
"Bajra","442","45141.46","BHASKAR ANKALAMADUGU SHIVAREDDY","Independent",1363
"Bajra","442","45141.46","BHIMASEN DATTU SANADI","Independent",614
"Bajra","442","45141.46","BHOVI TARABAI","Independent",4342
"Bajra","442","45141.46","BHUTHARAJA. V.S.","Independent",2386
"Bajra","442","45141.46","BUDAYYA. B.P","Karunaadu Party",1358
"Bajra","442","45141.46","BUGADI BASAVALINGAPPA IRAPPA","Uttama Prajaakeeya Party",796
"Bajra","442","45141.46","C M. SHABAZ KHAN","Young Star Empowerment Party",295
"Bajra","442","45141.46","C N MANJUNATHA","Bahujan Bharat Party",1350
"Bajra","442","45141.46","C. CHANNAVEERA","Karnataka Rashtra Samithi",3794
"Bajra","442","45141.46","C. SHARANA BASAPPA","Republican Party of India (Karnataka)",770
"Bajra","442","45141.46","C.M. SHABAZ KHAN","Young Star Empowerment Party",428
"Bajra","442","45141.46","C.M.KRISHNA","Dr. Ambedkar People's Party",8074
"Bajra","442","45141.46","C.V.  LOKESH GOWDA, B.E","Independent",691
"Bajra","442","45141.46","CAPTAIN BRIJESH CHOWTA","Bharatiya Janata Party",760130
"Bajra","442","45141.46","CHANDAN GOWDA. K","Independent",12310
"Bajra","442","45141.46","CHANDRASHEKAR. H C","Independent",352
"Bajra","442","45141.46","CHANDRASHEKAR. H.C","Independent",1270
"Bajra","442","45141.46","CHANDRASHEKARA. K.R (CHANDRU KEELARA)","Karnataka Rashtra Samithi",1465
"Bajra","442","45141.46","CHANNAMAYIGOWDA","Independent",496
"Bajra","442","45141.46","CHETAN CHAMAN","Country Citizen Party",490
"Bajra","442","45141.46","CHIDANAND  HANUMANTHAPPA HARIJAN","Independent",1707
"Bajra","442","45141.46","CHRISTOPHER RAJ KUMAR","Independent",533
"Bajra","442","45141.46","COMRADE SUNIL T. R","Socialist Unity Centre Of India (COMMUNIST)",1538
"Bajra","442","45141.46","CONDUCTOR PAMPAPATHI","Independent",2458
"Bajra","442","45141.46","D DURGA PRASAD BYATARAYANAJI","Challengers Party",798
